timestamp,rpm,avg_in,avg_out,gpu_util,rack_power_w,rack_heat_w,hour,dow
2025-01-06 00:00:00,41.35675856529844,121,34,0.019661692301252302,9051.221501462727,9051.221501462727,0,0
2025-01-06 00:01:00,31.42253877146056,211,413,0.16498142127465604,10760.181514189955,10760.181514189955,0,0
2025-01-06 00:02:00,29.792016944423718,383,145,0.058752340082482264,9510.92751936999,9510.92751936999,0,0
2025-01-06 00:03:00,21.269258739131615,39,450,0.11998520586212623,10231.026020938605,10231.026020938605,0,0
2025-01-06 00:04:00,23.071854437821315,53,320,0.09279692120345381,9911.291793352617,9911.291793352617,0,0
2025-01-06 00:05:00,19.63533867413671,57,376,0.0927524310619533,9910.768589288571,9910.768589288571,0,0
2025-01-06 00:06:00,46.994295661172984,17,476,0.2799489354449125,12112.19948083217,12112.19948083217,0,0
2025-01-06 00:07:00,31.307970754363584,46,366,0.14383403564067204,10511.488259134303,10511.488259134303,0,0
2025-01-06 00:08:00,22.180698288000457,174,370,0.10419383020788214,10045.319443244694,10045.319443244694,0,0
2025-01-06 00:09:00,30.604610601283134,119,451,0.17405097087371396,10866.839417474876,10866.839417474876,0,0
2025-01-06 00:10:00,27.446757131810315,142,293,0.10214768112555404,10021.256730036515,10021.256730036515,0,0
2025-01-06 00:11:00,54.28892271526869,466,126,0.09604615243709617,9949.502752660253,9949.502752660253,0,0
2025-01-06 00:12:00,63.497483042312716,94,317,0.25409576130765466,11808.166152978016,11808.166152978016,0,0
2025-01-06 00:13:00,0.0,0,0,0.0,8820.0,8820.0,0,0
2025-01-06 00:14:00,29.2097118057484,1941,308,0.13608074487503036,10420.309559730356,10420.309559730356,0,0
2025-01-06 00:15:00,40.97872124562904,109,78,0.0418153701377273,9311.748752819674,9311.748752819674,0,0
2025-01-06 00:16:00,43.74998579761663,250,116,0.06799476959379584,9619.61849042304,9619.61849042304,0,0
2025-01-06 00:17:00,27.02127458621653,131,47,0.017349910057233197,9024.034942273063,9024.034942273063,0,0
2025-01-06 00:18:00,51.37824739074144,144,238,0.15593298083090026,10653.771854571385,10653.771854571385,0,0
2025-01-06 00:19:00,21.72214545970551,322,228,0.06482250240933786,9582.312628333813,9582.312628333813,0,0
2025-01-06 00:20:00,16.387216604818697,407,137,0.030842107251652515,9182.703181279434,9182.703181279434,0,0
2025-01-06 00:21:00,10.959150250235048,277,1928,0.26538038962204596,11940.873381955258,11940.873381955258,0,0
2025-01-06 00:22:00,22.261026232776803,152,329,0.09295833537703713,9913.190024033956,9913.190024033956,0,0
2025-01-06 00:23:00,10.720299395628482,9,214,0.028717002006039796,9157.711943591028,9157.711943591028,0,0
2025-01-06 00:24:00,60.979405786499754,142,137,0.10803518058508206,10090.493723680565,10090.493723680565,0,0
2025-01-06 00:25:00,25.412839840863445,323,54,0.02057381158783236,9061.94802427291,9061.94802427291,0,0
2025-01-06 00:26:00,23.491055599304644,1088,480,0.1515956121341793,10602.764398697947,10602.764398697947,0,0
2025-01-06 00:27:00,38.11937410311111,79,28,0.014596543666982962,8991.65535352372,8991.65535352372,0,0
2025-01-06 00:28:00,30.130680699301596,77,228,0.08683913266544546,9841.228200145639,9841.228200145639,0,0
2025-01-06 00:29:00,21.1293748597592,194,87,0.024686152961151998,9110.309158823147,9110.309158823147,0,0
2025-01-06 00:30:00,58.7183366120145,865,299,0.24062285024131772,11649.724718837897,11649.724718837897,0,0
2025-01-06 00:31:00,58.51326913820904,55,61,0.04595729680230168,9360.45781039507,9360.45781039507,0,0
